title,soldprice,link,solddate,bids
Shop on eBay,20.00,https://ebay.com/itm/123456?hash=item28caef0a3a:g:E3kAAOSwlGJiMikD&amdata=enc%3AAQAHAAAAsJoWXGf0hxNZspTmhb8%2FTJCCurAWCHuXJ2Xi3S9cwXL6BX04zSEiVaDMCvsUbApftgXEAHGJU1ZGugZO%2FnW1U7Gb6vgoL%2BmXlqCbLkwoZfF3AUAK8YvJ5B4%2BnhFA7ID4dxpYs4jjExEnN5SR2g1mQe7QtLkmGt%2FZ%2FbH2W62cXPuKbf550ExbnBPO2QJyZTXYCuw5KVkMdFMDuoB4p3FwJKcSPzez5kyQyVjyiIq6PB2q%7Ctkp%3ABlBMULq7kqyXYA,NA,NA
Shohei Ohtani 2023 Bowman Chrome Mojo Refractor Card #51,5.00,https://www.ebay.com/itm/305113977419?hash=item470a35d24b:g:CMYAAOSwXfJk80Ke&amdata=enc%3AAQAIAAAA8MMs7X7LIkWUXRByZFnKBoZ%2BDwl1BK39UjhegjZ55JVPRCSCh7UfJsk3G%2F3NeTnfG7do5lspvnpKSmZPaMkoqpSh1sgfdcqxYPsLKCF0YKY9DXLtEU9FcUOV0OTg1OGuMTISAVlJCNm%2BtdbGdRZrY4u0sKKw1ORTuwzlG5sXCTixhXZGuJf2iOojVWj16HWuQu6EldC9v8LxoQWvu1W2jViwUN1bQGi4HDJHOelWIXTd34c%2BpaNu8Y1xb4TBgFhprFKUYXeT5ut1ibM%2FVhWd%2B1M7iL4l0fLOJQSAJ6w2xSioVYyI3iRwsU2TwImmcVwaJA%3D%3D%7Ctkp%3ABk9SR56wrvzOYg,"Sold  Sep 8, 2023",NA
"2018  Topps Update “Japans Finest” Shohei Ohtani / Ichiro, Rookie Card #US153 RC",6.99,https://www.ebay.com/itm/314817529687?hash=item494c964757:g:6dEAAOSwYGVk-aFa&amdata=enc%3AAQAIAAAA0EruNVrUrDHEfiFX5Au2MbIqILDAOyscAvU87s4qxdSnXarD8jiR9pCef9cCvFEb5dYIxQ6uTB%2B9zu2i9rwGqzJox9rikt2FEBdz8CWZffZw6KUw7uK6Ua9qNYR7owE8vtKwHva%2FKloKDZYGYssm9oVSj5PykRfPvvSxQc4a895iPBYbX6Dde1J4a%2Bid1GR7tw%2BxC5Z4gx6hrIVQfD%2BWdKreHEGsAimPJk4zQRG8xZxL6Ilgh%2BDJ8S5P08yY5go5JbjYi3BEwAzWd1NTZEy6q7Y%3D%7Ctkp%3ABk9SR56wrvzOYg,"Sold  Sep 8, 2023",NA
New Listing2023 Topps Chrome Baseball Shohei Ohtani Base Card AL MVP Buyback #17 Angels,11.99,https://www.ebay.com/itm/314820875253?hash=item494cc953f5:g:CukAAOSwJypk-883&amdata=enc%3AAQAIAAAA0MJDdTygK11qZQZpT8Qfl8XacO9QTxshXPWVeP82JavgnuuTJ%2F2QWVTh4HYsZqT3ZQgQNLSniHT5X8aB503ABTSNC35bVajucox%2F8imcGsDHH%2BDYx53zjIzzLoegfQyT0VregJ88Lg2hYvt9yTMRUe6VXy3Z7bRqP%2FlwbYHrFBdDj3t759JfIDMAw7yhccVQN3U2gWQv4tG4MRC%2Fw7KqmtIGs0cip0L3xvbbkoR1VbL9CniKpyKghG%2BXA3NSLTjkK4HIUnkRNskOVlzP5nKf0mw%3D%7Ctkp%3ABk9SR56wrvzOYg,"Sold  Sep 8, 2023",NA
"SHOHEI OHTANI 15 CARD LOT - 2022, 23 TOPPS/BOWMAN, REFRACTORS, INSERTS & MORE",4.51,https://www.ebay.com/itm/305112331411?hash=item470a1cb493:g:~ZAAAOSw0i1k8kQ5&amdata=enc%3AAQAIAAAA8Pi8qAY4jehltOUDx0%2BCGIAkzijTIWXRsD3OeaEM1jgUsB92ZImrCch0tE4dhxKH%2F%2FApF8Ogrk7m0vMUimcLczO%2B%2FHvBRarp5ttJhFQSmwcpMrfSQLiwAeL718TgljahX40v1BS%2FK8%2FD0SebbG3SE%2B4U6x9D24PCv96u5yqJFe%2FgoAYkf5ipAvE7z7%2Fjif%2F%2F78A6YzUmgu877Q58B3z9SpAELMSaY3R7XhLHZII%2BlHtnnTDNsSJ7CMiJoEYwdIaTSgn%2BmotRbiJbWn%2FO5BC%2FmWH1yspGL896IJUOW6jq1NPO08gsNOrJlTvsSuky%2FGCDzQ%3D%3D%7Ctkp%3ABk9SR56wrvzOYg,"Sold  Sep 8, 2023",6 bids
"2018 Topps Update Shohei Ohtani Next Step, Stardom 15 Card Lot #US158",89.99,https://www.ebay.com/itm/126072723348?hash=item1d5a851794:g:fOIAAOSwbn1k7-1N&amdata=enc%3AAQAIAAAA0IjU8GJMR0zTVA%2BmcC95Sz6Bzn6uhvt8FdiaI449cF4YGdxwgyGkL6%2BTJkgAtFx30vGWu1GWAozUH9TkHqusZZnFV9Of2cWp%2FCSAUUL5XO8zGr7r8QJLpCK3kbkExNlyFAB1hRlhXgVnsfmOAOSM08qeTI3nFYde2Olk1zRUD0p0DkGYyW5l5tNsDSV1sKelCmVYBwf8IfICOLymBTwrUrAncXbMyUap2xnSG35OmkX75%2B1MdXwfgNktMHqJ5dSeL32YUHCDI8cMCksqmyDUtrM%3D%7Ctkp%3ABk9SR6CwrvzOYg,"Sold  Sep 8, 2023",NA
2019 Topps Shohei Ohtani 43 Card Lot #367,99.99,https://www.ebay.com/itm/364450881443?hash=item54daf71fa3:g:JIEAAOSwzNJk7-rc&amdata=enc%3AAQAIAAAA8OBhAyTyA3UqhL%2FJt7oDEK5O92HQmWqIGxXqg5%2F%2FUzxzoYyf3HP7e6zGMQdo2i1C50vZJtwkreqoXQWTIjWDj11z0PhvqnyaP2a1G6cExCuvp06VbBEMu92BvDpNZwZpAzENHGJ7KGIQFLSwMWCMJNqg0DdfDIVUFSX2NaWEXaxEkBkn8WAxSw7zutTv8NO7oTMXN%2FR5Q4k65HZfZ853LLcHaF2yiihBJq0pCRFL30G2i2v41VkpS2B%2B7vcuIyGhuFvA5lNZKZI6QWVhprc1hgmHERuXFFGzC5vG09bofGDEtQd%2F%2FD8eAZjCX2qZkJTNRg%3D%3D%7Ctkp%3ABk9SR6CwrvzOYg,"Sold  Sep 8, 2023",NA
Shohei Ohtani 30 Card Lot ALL INSERTS No Duplicates TOPPS PRIZM MOSAIC FREE S&H,32.99,https://www.ebay.com/itm/256206334949?hash=item3ba7166be5:g:qVAAAOSw7w9k9Nxz&amdata=enc%3AAQAIAAAA0EXCPgTOD%2FTHpvt0Ick0nHe52IQN4RLf7OCXGuC0ieOLcLh03%2B19w2%2BxcyjnU1cniyJ5crtSSRCyrVY4KUjGkXEdzGCbEVpHAF5VNqpxPT2Zt%2FOT%2FTQPsoc8GqJlwAFQllm1WGYz3RdOcIktIPyFi5UacknIdBFsPeus07ob%2ByVUQi%2F5xkDhZxH9mJS7xC%2FZrwgLNkz1dDvIck0wf9GW9%2B3Cn41Z5s%2F0cKx7%2BmW0EO23qSAZlNmVJCt%2FlQKYzIsHwhkXnTy1kqzo4cZUw%2Bun1k4%3D%7Ctkp%3ABk9SR6CwrvzOYg,"Sold  Sep 8, 2023",19 bids
2018 BOWMAN #49 SHOHEI OHTANI ROOKIE CARD RC LOS ANGELES ANGELS,31.00,https://www.ebay.com/itm/355012641084?hash=item52a867013c:g:CvEAAOSwExNkIeUQ&amdata=enc%3AAQAIAAAA0JQ9FDPpsF4vmLWIFW7c%2Bb8NnTFb3KL75dA6f58c05CI46wfeY1P7c8JZounm17oav%2FQf1nMjoCs7YB1T6WQS%2FW0CrbEBVvtvpr7AB3kvyYpVLjj9jliiVjY7ZzKw%2BXXn4SxXGcruHiGiB%2Buc6tvtpwgh1l8Sat7IRLB4dtbd5x0ccDB2nfIyauyw24jUxW5Kdh79RQV9nQBa9a%2F5UU6XW5wpEjSw3v9Uzgffkwyn9kLiNLDInVo%2FND9%2FIMajHxll503zML%2FXbled3aWrA%2BTHek%3D%7Ctkp%3ABk9SR6CwrvzOYg,"Sold  Sep 8, 2023",10 bids
2018 Topps Now Shohei Ohtani / Babe Ruth Rookie Card MOW1 PSA 10,152.50,https://www.ebay.com/itm/355016024108?hash=item52a89aa02c:g:oZwAAOSwKrhk9PK~&amdata=enc%3AAQAIAAAA8KBERzzSMd2D%2FvkJ2R6bh6fx%2Fr50EIsC1ocG6MCRtBOljSk%2B10Vw%2FK36ZByuPaYHzM5VBXwgZfoUe6nJoYwuFvxPkfNSNDsd62vPRllRyo9n70vwaURgUoZ4Br%2FAdddStHDrFZ%2FPHVS8s9%2BedSxffwzSrNDL17byD2nOzUsnKyGpER5FgN%2BrcTin%2BWmQXwGgKOFgUCIqnamkdLfW%2FT%2FT7dIYg1UwzzSpXq8PFric3%2F67ahCO4WM7hF1kEG1nBXAaZL0kUvAMeT7RbeCeND6hFe51fume41DC1Plt468zSy0%2FwaT8ym%2FLv%2F27aTvHt6p8Hw%3D%3D%7Ctkp%3ABk9SR6CwrvzOYg,"Sold  Sep 8, 2023",16 bids
