title,soldprice,link,solddate,bids
Shop on eBay,20.00,https://ebay.com/itm/123456?hash=item28caef0a3a:g:E3kAAOSwlGJiMikD&amdata=enc%3AAQAHAAAAsJoWXGf0hxNZspTmhb8%2FTJCCurAWCHuXJ2Xi3S9cwXL6BX04zSEiVaDMCvsUbApftgXEAHGJU1ZGugZO%2FnW1U7Gb6vgoL%2BmXlqCbLkwoZfF3AUAK8YvJ5B4%2BnhFA7ID4dxpYs4jjExEnN5SR2g1mQe7QtLkmGt%2FZ%2FbH2W62cXPuKbf550ExbnBPO2QJyZTXYCuw5KVkMdFMDuoB4p3FwJKcSPzez5kyQyVjyiIq6PB2q%7Ctkp%3ABlBMULq7kqyXYA,NA,NA
2019 Topps Allen & Ginter #46 Rickey Henderson    Baseball Oakland Athletics,1.57,https://www.ebay.com/itm/276007308440?hash=item4043514c98:g:U~wAAOSwe2Vk4kff&amdata=enc%3AAQAIAAAA4Ewv%2BEKd28S9eQS%2F1VRg0E2d4JaxW%2F67mRvtBAYs38xl%2BqmuVy4ZDq3OGMUciCR5qyo8Iovx5rent7yLn1iTg8xx6s06btmnFENYOJXh9rOoltIH7jnXjl1WZaMnR%2FOXP36GuMSfp3XDGJDHQvZ3SQ1r6r1EfO1RuLdgUbrOJ3hEVgjBJWnluKkb0Tqye7Tu8HwlVbcX5kQpR%2BQb2kun7u%2Bcgwa21gADofMeAeppB%2FxgYuantwVUDOke33ALQ5eCIObnHcLpTlRuFdHHP8ajLS%2BlHMagQiTdaAIrOrIzpAzJ%7Ctkp%3ABk9SR87dz_rOYg,"Sold  Sep 8, 2023",NA
1970 TOPPS BASEBALL #586 RICKEY CLARK   NMMT/MINT                     AWESOME!!,6.51,https://www.ebay.com/itm/126075210078?epid=13055991760&hash=item1d5aab095e:g:LZsAAOSwWRVk8gQ5&amdata=enc%3AAQAIAAAA4NIxpzSWStz8R0e6Q1%2FK%2Bfuey%2FCZG2FZMnl1XIjLwnWVc%2FLK4KQfMpjgpQg%2BYaVa7XCc1X1QAdNgmlWqg3jmkAggXyo1lvzK2MvDrcfp6NLw2q83h4QdtPdrJukss%2Fg%2FygYUlCdhZGTOy3BfAc0MPYHRrMMSWSpnuxMyZIxHZrwt%2F0S%2FK6jp54giHiwczXvz%2Bd7Iay1ny09fYIKdZMpSfbfh8IXtlp%2FGgX2Aigc4Ufxtj6EvMkvmGzPUfSJ%2FOt6peHwR%2BARyRCNT8AZ7VP0JwVe%2BJvwfLZLoCDKmI%2FpoHgAt%7Ctkp%3ABk9SR9Ddz_rOYg,"Sold  Sep 8, 2023",3 bids
1981 TOPPS  RICKEY HENDERSON #261  HOF  2nd year  NM-MT  OAKLAND A's,4.00,https://www.ebay.com/itm/155749476028?epid=9055906756&hash=item24436466bc:g:bFEAAOSwKfZk4mdN&amdata=enc%3AAQAIAAAA4PWcjflPTki5QD%2FCV%2BkF8SGJf52hAVZFt0ROC4WWhSpxNKLASu7aDKWxz9%2FlfqnQPnzNZBCPqmglq48y2pGjBLFjg18s%2BwBeNuW%2FqLsCRzST5wMNgfyjZuLxJXPgaa%2BjeWqhp8vfWjWgxeOz3oodKOIDFSVTzmebEgZZHj4MMJJCzNpStl07sO%2FECw3sRBuPjRMqPBENbWnt6OPiXxf2yXHVpafEY60yoKdlwSnia9EbXdaHFkaOShpcKsQY3GlzeE09RqENfwXgh%2FV%2Bnlf%2BeV%2BdluQeCoVW59HCGFHhV6E6%7Ctkp%3ABk9SR9Ddz_rOYg,"Sold  Sep 8, 2023",1 bid
2023 Topps Rickey Henderson T88-60  Oakland Athletics,5.99,https://www.ebay.com/itm/126068444560?hash=item1d5a43cd90:g:Vq4AAOSwWUZk62PM&amdata=enc%3AAQAIAAAAwPPRoU%2FdIfzwUiXp%2FPyUCgSTTBxLltv4N1RVwvG6SyIAPO%2BotGAhKlBnkts9sOpZfdsQoe4oDnRIshHmSd21DfP301oS89Rko5KqZYH0xiUwIMJSIR5%2FtgUjBe0%2F%2BPFFglbg%2B55Ookv4roLjvRpPeJPIu6SmZrTAij34%2FTXkCxZWHhVaPozxBMSsX0tTKzldy37CzAuBTglyFnfmJ3HCgZJXJzwr1DF1EEZISHCjRFUpvzwsCje0tmXxip3VCrQCFw%3D%3D%7Ctkp%3ABk9SR9Ddz_rOYg,"Sold  Sep 8, 2023",NA
"New Listing2017 TOPPS FIRE # 88  RICKEY HENDERSON , OAKLAND A'S",1.69,https://www.ebay.com/itm/374923092233?hash=item574b286109:g:gScAAOSw8OFk-6Un&amdata=enc%3AAQAIAAAAwCHhifoGF1eCd775Zs0O6ivQmBO329mhTAWgNYgmJVFhzLeH%2BeRxo6U1SqbX4hS4Fh0pbzQrCStS3pIvCs6iXTfMm5Nx8wGzYvn%2FesjH35ffwmMZ7dI218G35pMTf6Yy7ho%2Bn%2B%2Bfy6Cav1f0xCcJwgsyHg0%2FFJHTg%2BTLIV%2F7Va7%2FNh1yFzZm0QIDexND8mgSsj1mdDxS9OJPCOMIn0MnBSFPprMRrfJNuixbth0FZgQNdoD9LwM2TcLWGSRnq9gtEw%3D%3D%7Ctkp%3ABk9SR9Ddz_rOYg,"Sold  Sep 8, 2023",NA
1984 Topps - #230 Rickey Henderson Excellent Condition,1.99,https://www.ebay.com/itm/186059580109?epid=10055964136&hash=item2b5203e2cd:g:HNoAAOSwFU5k8eXN&amdata=enc%3AAQAIAAAA4PVmsiedlJHpui6%2FQpbCXQnjqqGR0prRbduUifmE9vDHK3oWmwGb5wYSQFtxkFX88ScCJZWhzOC7KAAgp8faLPumimWuZqeDF4i4Mhb5X6UrWOFS5nCMYc5GsS9wGN1GK2Vl9L5V1Z4CGt%2BSzyksDXT%2Flaka7SqvdSdZdHF06T4y0Gr9affU4fDQjLaIV0WUYpu1Fz895yXhMTgZ5KqikOwrUVnxn4z1as6kz8dLTQlnaL6uHiWdc5AW1eg5tcv8eUVC7Cc%2FTifjlN9PLH5xjg9wQ6yRvXvEBxzREdq80Euz%7Ctkp%3ABk9SR9Ddz_rOYg,"Sold  Sep 8, 2023",1 bid
1994 Fleer Rickey Henderson #334 Toronto Blue Jays,1.39,https://www.ebay.com/itm/155751405913?hash=item244381d959:g:pdMAAOSwabpk86hm&amdata=enc%3AAQAIAAAA4DXyMZs0nyRbaU6yGSAz5hT3oYj65M5l%2Fr5cXZv4KfvLca8zl7MrhogaHxIrw4Za8FqMtKO7Wslqpbpw7TVwEOI2LgmE8j67Xmm5wzoRayz1tHhRt%2F1UsPUdSYJANM3yR8OvN7%2FASBpdZK5Jqm9Gk5JlmDT7obMu6CQip%2Bwp8FFAZel3csyIQGFhJ7yyYOfYiYVaehxopBX574hALcbGebfLrnUPEVVNEF2%2B12vrijMyXOzGgC1OZ20IM%2BKZr8u1byMANqQ8uMS%2BcnGMkJ5%2FYgBiFYghf%2BpF3MSJj3edkGAS%7Ctkp%3ABk9SR9Ddz_rOYg,"Sold  Sep 8, 2023",NA
1989 Topps Traded #48T Rickey Henderson - - Near Mint,0.99,https://www.ebay.com/itm/175884716173?epid=17055992191&hash=item28f38bc88d:g:K5kAAOSw2EJk8orW&amdata=enc%3AAQAIAAAA4NUXx08e3dv8zsQn7yDiXe3SZ33u6eAPVAyieQRsfX1o3nPVTMfejSrLuwTsKTCZs%2BY6a%2Bu%2BUdUO5264zYHhRLAPMW1%2FEZC2VOgKvSj6HTefz7D56Q2JrCOQWOOfk5rOp8p7BKkTNBoA27UoJ4qYeRx7DK6m%2ByZRg97eObbkxRMfeyG2G7xSWOCwTkPmVgnud1jpN%2BU9xypNEZsay%2Bv%2FOrsV4A%2Beta06gHnjkjgNPMPUvWa13eFDBiAkLWW3ZbtS8W39%2FW09FE4HZuXG5%2F5%2B1y%2BJWifxjWxWX7kkGMblbeZG%7Ctkp%3ABk9SR9Ddz_rOYg,"Sold  Sep 8, 2023",1 bid
New Listing*NOS 1989 Pocket FOLDER Topps BASEBALL Card # 380 -NY YANKEES *Rickey HENDERSON*,12.77,https://www.ebay.com/itm/335022003679?epid=24055941618&hash=item4e00de15df:g:1w4AAOSw3c1j5ENT&amdata=enc%3AAQAIAAAAwLp9Zw7dNROjBrWt0ZMXViMBGjZmKqwEhO9SdNfqLUuuvYF1yi%2BtrexcaWAuKh1ZNmIDp0fk8zVvUSg1MvVqSgQ3sVXSX6Or7GdVKoeW3atGjKg3pLCqayml%2FcSHLy6kUQ7VzXCHX1ednictIe2F01gi1bdwJxTOltkKebBMGu2Ad1%2FbOygMqGeSP8Szj7%2FIpiJLMRwzLNxUW%2FVSVYNeGNyy0jeTUVd4yhKTAryX47OF8OuP9oL6NtbtZvSDydpNGw%3D%3D%7Ctkp%3ABk9SR9Ddz_rOYg,"Sold  Sep 8, 2023",1 bid
1980 Topps #482 Rickey Henderson Oakland A's RC Rookie HOF GEM ELITE 10,675.00,https://www.ebay.com/itm/225744464910?epid=11055876351&hash=item348f6b2c0e:g:DfgAAOSwFddk59dq&amdata=enc%3AAQAIAAAAwOPd4I6C3HL9AI26O8v5OP2RlDmhIbujrRM3cuRYOnRSB63kA8iFghY3lLOTVWCblIhWv1jjd5MGnCpW9q9NsYwNpwgNs2nzp%2FGWpebfmG%2FEFP8thn968CsJYTUoswqYApTXVOyOIO%2B9P1I0%2Fa7qHb0tSo4LX693ZkRXkzOqN4Kc1NVuoIXEcDueWhbRBp%2BmeqI6Gm5YHJsQo4lsSCKmbof6bjrErgCfbvDzXAUAvk1Uw%2FidI3zWg4cj7tZlzYKSwA%3D%3D%7Ctkp%3ABk9SR9Ddz_rOYg,"Sold  Sep 8, 2023",NA
Lot of 11 RICKEY HENDERSON Cards Oakland A's HOF,4.00,https://www.ebay.com/itm/115904533019?hash=item1afc72d21b:g:IdAAAOSwQEBk8iPN&amdata=enc%3AAQAIAAAAwNSX%2FauugwQA5GNP7gBMa%2FB%2BKC1G5Ri1MMD4DKmcmiUpZw%2FqvNdJ%2Be0tIQmAUpiUot9319gpWUdSvAuyDpxTtF%2F8tXU6G%2BglkKVgoCXtR%2BCIVxRF1PoDcrSfGxSsaMsLdYvr%2Bzv8FfOPDDURxPyBHWLO2ZH%2B3EmieBUftkOYZ5eNvaKXXqogtz6nrbRK74iQkpyBt7IvZtAMWt9ZanFwPn4JScyztlVR7xdiBFRi1Zxi0QFYP%2FY2Sr4ZlIUO03Zvng%3D%3D%7Ctkp%3ABk9SR9Ddz_rOYg,"Sold  Sep 8, 2023",2 bids
